id,avg_sentiment
aj9QEO0,2
aoPmAyn,2
aR76dLQ,2
a9njNZo,2
azm7z4j,3
adVyNWB,2
a8GdxOp,2
aO7oVP3,2
a7Wv6Ez,2
aVwj14K,2
aP764ow,3
aoPmK22,2
ax9EwW2,2
a43p00Z,2
aYyjwzV,2
aLw6Xj6,2
avz2B2E,1
aj9QM7R,1
azm7QdZ,2
ayeEKgp,2
a43pn4v,2
a8GdQvd,2
aYyj0qN,2
aO7o5zM,2
a85rP0p,2
a1WpggG,2
a0Nvy6d,2
amvqOEo,2
aGdKLQ6,2
arV1L55,2
a5Wp4gE,2
aD4R2Vx,3
a9njR4Z,2
a9nj4MZ,2
aXgZO2v,2
aVwj2bv,2
aoPmeAA,2
a3wvKB8,2
a5Wp38O,2
a43pxPv,2
aQd6z27,2
aO7oADD,2
aK74QRZ,2
aEPdEWM,2
a3wvXNN,2
a2RQQ8d,2
ayeE1Mp,2
a3wvr4m,2
agArAXv,2
a8GdOYQ,3
apGKQMM,2
a6KrPqA,2
aWxBBvq,3
aGdKXzK,2
aR76yM5,2
a0Nvy8X,2
azm7Q0m,2
aO7oOXy,3
abG3erO,2
azm74EK,2
aj9QvRG,2
aNgmoDb,2
aK74yEO,2
aP76nZP,2
azm7roq,2
ax9EDxK,2
aGdKQO5,2
aeDKnwO,2
a2WE6eZ,2
adVyzA2,2
adVyYKV,2
arV10y5,2
aMxev0P,2
an4ew1L,2
aO7o586,2
a9njZ3W,3
aP7671P,2
an4ej95,2
apGK4dE,2
aMxeoP1,2
a7Wvbrz,3
aeDKWnp,2
aqn4wjQ,2
aZyqV4W,2
aQd6DEK,2
agArew1,2
aWxB6dK,2
aYyj4R2,3
a7Wvg52,2
aqn4w8Z,2
apGKwOb,3
aP76zKR,2
apGK7AD,3
aYyjbQq,2
a5WpgLL,2
aD4Ry0N,2
agArzWq,2
a0Nv3ed,2
aR76DY5,2
aBm9MQ1,2
aoPmn1e,2
aBm9vRO,2
a0Nvrmq,2
aO7oN06,2
aO7oMdN,2
a8Gd9ee,2
azm74vb,2
avz29vZ,2
aNgmYK6,2
an4e39B,2
a7WvxE2,2
apGKMj8,2
a9njMgD,3
aVwjxKO,2
ao5BbNX,2
apGKZPE,2
aZyqXq3,2
a1WpwLb,3
aP76zNR,2
avz2XoE,2
avz2mAW,3
aGdKvmG,2
aEPdKjn,2
ayoyg4V,2
aVwj0Av,2
aeDKzWW,3
aeDKYy5,2
aGdK5B5,2
aBm9QoP,2
a2WEjB9,2
aQd64zK,2
a6KrxX2,2
avz2Nob,2
aNgm74G,2
aBm9rqz,2
a6KrbxA,2
a6Kro9b,2
aO7oA0v,2
aeDK8dO,2
aYyjxX0,3
aj9Qerx,3
aj9QLGx,2
aD4ReyN,2
aVwjMov,2
agAr6Qv,2
aQd6Kqq,2
a43p8Xw,3
aVwjR2P,2
azm72Mz,2
a8GdXBV,2
arV1bR7,3
aGdK480,2
a43pwNy,2
amvqyQX,2
abG3d0L,3
aEPdy7G,2
awBNZqD,3
aR76127,2
aVwjpOM,2
azm7W9x,2
an4ewKV,2
arV1XzV,2
aEPdQPo,2
azm7Dpx,2
aZyqnpQ,2
aO7oGW3,2
aQd6ood,2
aWxByb4,2
a7WvAEw,2
aGdKr30,2
aK748YZ,2
amvqO9X,2
amvq402,2
aj9QEXG,2
avz2wYE,2
aMxeW8R,2
avz2NGW,2
an4eP0E,2
aBm9j3P,2
aBm9pxA,2
aD4RP09,2
aD4RPy7,2
a43pxX1,2
aj9Qy60,2
adVyDMM,2
aeDKyXb,1
a8Gdg3d,2
aQd6jPW,2
an4eBOL,3
a2WEmVO,2
a3wvem1,2
aGdK5V7,2
aeDKy6p,2
abG3nXp,2
a5Wp6RN,2
aj9Qj6x,2
agArDOq,3
aYyjQnO,2
avz2mV5,2
aD4RxQN,2
aLw65ZM,2
ax9EeLn,2
awBNv78,2
aEPdE3p,2
an4ewdL,2
ayeEG9b,2
aYyjqyV,2
abG3KDE,3
aWxBeM2,2
a6KrRO2,2
aoPm7Kw,2
aeDKqDp,2
aD4RMW7,2
aVwj9GK,2
