id,comments count,section,type,person,people,cat,dog,other animal,poster,clothing,car,toy,tree,glasses,building,electronic device,airplane,guitar,pattern,image_text,comments,score,log_score
a0Nv0Pd,62,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,17.981012658227847,2.943439145722042
a0Nv1bq,506,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.766816143497756,3.4584222274426053
a0Nv1jn,389,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.827361563517915,3.4284026580710254
a0Nv3ed,22,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,37.266666666666666,3.6445791952173563
a0Nv4Yv,77,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,119,0,19.294117647058822,3.0103310729751436
a0Nv7Vn,110,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,31.195979899497488,3.4718415969145293
a0Nv85Q,126,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,33.19047619047619,3.531947131324801
a0Nv9nL,102,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.488636363636363,3.4808903778441054
a0NvB0n,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,3.5,1.5040773967762742
a0NvB3X,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.8333333333333335,1.5755363607584192
a0NvB4v,4,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.5,0.9162907318741551
a0NvB5d,20,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,85.3,4.457829598089382
a0NvB8L,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,2.7142857142857144,1.3121863889661687
a0NvBEL,14,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,-14.2857,1.0,0.6931471805599453
a0NvBev,22,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,1.5040773967762742
a0NvBjB,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.0,3.9310344827586206,1.5955488002734333
a0NvbKn,189,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.07266435986159,3.52849543113537
a0NvbMX,46,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,-5.7143,23.169934640522875,3.185109490554635
a0NvBoQ,3,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,78,0.0,3.25,1.4469189829363254
a0NvBOZ,0,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,1.1428571428571428,0.7621400520468967
a0NvBqd,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-50.0,6.0,1.9459101490553132
a0NvBrz,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0.0,2.5,1.252762968495368
a0NvBVn,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,25.0,3.125,1.4170660197866443
a0NvBwZ,4,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,383,-21.4286,1.2,0.7884573603642703
a0NvBxO,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,5.0,1.791759469228055
a0NvBXQ,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,3.0,1.3862943611198906
a0NvD5L,21,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.1429,25.75,3.2865344733420154
a0NvdGL,650,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,19.73139158576052,3.0316490532713583
a0NvDLn,26,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.1667,6.894736842105263,2.0661963149298153
a0NvDNO,258,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,0,21.337662337662337,3.106274147953815
a0NvDpq,7,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,38,-25.0,7.954545454545454,2.1921612753796724
a0NvDZB,213,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,7.974619289340102,2.1944005144596
a0NveAq,305,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10.655940594059405,2.4558159722824047
a0NvenO,95,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.734375,3.6567274486755186
a0Nvezz,209,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.42857142857143,4.08477511120595
a0Nvg8O,8,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,83,-28.5714,14.24390243902439,2.7241795830320936
a0NvG9X,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,-50.0,7.444444444444445,2.133508762950112
a0NvgDX,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0.0,14.5,2.740840023925201
a0NvgEO,11,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-12.5,5.17948717948718,1.8212352873610087
a0NvGjv,15,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18.82608695652174,2.9869985935852363
a0NvGqn,96,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9412,10.646153846153846,2.4549759835418117
a0NvgVL,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,238,0.0,9.76923076923077,2.3766930651477676
a0Nvgyv,24,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.5217,26.583333333333332,3.3172117255890625
a0NvGzv,12,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,-14.2857,24.5,3.2386784521643803
a0Nvj2z,44,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,52.05,3.971234865059992
a0NvKbB,43,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.569620253164558,3.4833799598147226
a0NvMxB,230,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,0,38.93617021276596,3.68728243487645
a0NvN4q,140,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.592105263157894,3.0723277508037596
a0NvNEB,90,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-13.6364,7.249394673123486,2.110139824699934
a0NvnEn,89,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.08247422680412,3.585807268974122
a0NvNnO,94,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,-11.7647,16.415841584158414,2.8573802278962988
a0NvNRQ,157,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,17.48901098901099,2.9171765550020328
a0NvOLL,238,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,75,0,23.536277602523658,3.200152740838412
a0NvovL,95,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.43295019157088,3.017148803277909
a0NvOWZ,43,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.016666666666667,2.304250372313107
a0NvpZQ,78,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,128,0,18.849462365591396,2.9881769219095413
a0NvQ9Q,51,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,17.87378640776699,2.9377739967907486
a0NvQGL,490,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,2.772588722239781
a0NvqKd,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.875,1.927891643552635
a0NvQmd,168,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,16.795432921027594,2.878941846906049
a0NvqNX,22,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,-9.375,8.333333333333334,2.2335922215070942
a0NvqpO,143,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,40.583333333333336,3.7276994459635184
a0NvqwZ,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,11.0,2.4849066497880004
a0NvQxq,16,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,-11.2676,22.785714285714285,3.169085160365185
a0NvqzO,12,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.738095238095237,3.0790662623116
a0Nvr2n,11,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,3.6666666666666665,1.5404450409471488
a0Nvr6Z,4,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,2.25,1.1786549963416462
a0Nvr7n,12,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,3.0,1.3862943611198906
a0Nvr8B,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.5,1.75,1.0116009116784799
a0NvrBn,1,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1.125,0.7537718023763802
a0NvrDz,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,-5.0,1.4,0.8754687373538999
a0Nvrmq,3,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,148,10.0,36.875,3.634291263829533
a0Nvrqv,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,2.142857142857143,1.1451323043030026
a0NvrWX,8,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.142857142857143,1.6376087894007967
a0NvrZn,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.428571428571429,1.8607523407150064
