id,average_sentiment
aVwj5DM,-11.1111
an4e3gz,14.2857
aR76d47,-19.4444
agArdXK,0.0000
a9njemD,-13.6364
aWxBAdA,18.1818
a6Kr4WA,-16.2500
aeDKw6p,-12.5000
aK74LVW,14.2857
aXgZzDg,12.5000
a9nj07L,-3.3333
aD4R59x,-14.0000
an4ewdL,-1.8519
a8GdOv3,-22.0000
aD4Rb5x,-7.1429
a3wvrr3,0.0000
a6Krz1m,-5.4348
azm7wrm,-12.8571
a0Nvg8O,-28.5714
aQd6Kpd,-6.3636
aZyqXWQ,9.0909
aGdK66X,-17.5676
aXgZ1nD,2.9412
apGKV7n,-8.8889
aP7628G,-11.3636
aBm9zBZ,-5.3571
an4e39B,-23.3333
arV1Eyd,0.0000
aD4RD0K,11.3636
aNgm5jA,-17.8571
aK74y7g,-6.8182
an4eZLo,-21.4286
ax9EwW2,0.0000
ax9EAGK,-8.3333
an4ewgq,4.1667
amvqyqd,-19.4444
aeDKEwj,0.0000
arV10r7,-6.0606
aEPd5bO,-10.2564
awBN2my,10.8696
avz2qQZ,-3.1250
an4e8EB,-5.3571
aO7oOm6,0.0000
aZyq5Zz,5.5556
aNgmGOw,-28.5714
aGdKr30,2.7778
a1WpgP8,0.0000
aVwj5g2,0.0000
apGKdvM,-5.6818
aQd65Vw,-7.1429
adVydW9,4.1667
apGKwqW,0.0000
aqn4wVp,0.0000
a3wvzgv,-4.1667
amvqwro,5.0000
avz2XLW,-21.0526
aP762AQ,2.7778
aZyqXoW,0.0000
aVwj5xO,2.2727
a1WpjX6,7.1429
aD4Rq97,-5.8824
aZyqKwQ,-14.2857
adVydr9,8.3333
aK74n9W,6.6667
aYyj6XN,6.6667
amvqyQX,1.8293
a6KrzRe,-5.1282
aQd6bzz,-11.5385
aAeB7R9,-18.7500
aEPdbne,-0.9615
aXgZGe6,-20.0000
aO7o5nM,-25.0000
a7WvmxL,12.5000
ayeEAxq,0.0000
a3wvpe3,-20.0000
aZyq5Dz,-8.3333
a0NvxXO,3.1250
agArp9q,2.2727
aLw6Xj6,-6.2500
a9njw5m,-3.1250
arV1Emy,-25.0000
aEPdKge,-6.3830
aeDKzLq,-6.2500
a5Wp3zL,1.0000
aP76LRq,-2.0833
aoPm6e3,-22.9167
a1Wpnj8,-9.5238
azm7z4j,-8.5366
aR76WR5,-13.6364
abG3mPr,-16.6667
aD4R5nO,11.1111
aVwj93d,-4.7170
aVwj8ry,-19.2308
aGdKvmG,-3.8462
aNgm5Xr,-8.3333
arV1DAV,-7.1429
awBNZqD,2.8571
awBN9qB,-8.3333
aLw6OZv,-4.5455
a0NvWRv,-23.0769
aEPdNN9,-10.0000
arV1EPd,0.0000
aR768wQ,0.0000
aLw6O7v,-4.2857
a9njw3j,-3.5714
aeDKPBb,5.5556
a5WpAjq,-16.6667
ayeEAnb,7.1429
avz2BRE,-5.5556
a0NvGqn,2.9412
a7WvgYz,-12.5000
azm7yDZ,-11.9048
agArwzx,-9.0909
an4eZYb,0.0000
a2WEgYY,4.2857
a1WpgyD,-8.3333
awBNjox,-6.9444
a8GdXBV,-4.7619
aEPdje9,-2.2727
aBm95YQ,-4.1667
abG3w4r,-12.5000
arV1Ex5,-12.5000
aK745wg,-26.3158
amvqKRV,0.0000
aeDKPxB,-28.5714
arV1wp6,8.3333
aBm9bRZ,-16.1290
aZyq500,3.1250
aNgmMzb,-11.6667
a43pr7Q,-8.6667
aK745Gj,-10.0000
a9nj0NL,-2.6316
aO7o5zM,-2.9412
aEPdoR9,-8.9744
aGdKbvz,-10.0000
aYyjqyV,1.0638
arV19K5,-11.5385
aO7oOXy,0.6250
a1WpggG,-12.5000
a3wvr4m,0.0000
a6Kr3Pb,-5.5556
agArbBq,-25.0000
arV1E5B,0.0000
ax9Ewr1,-6.2500
aYyjrd0,-5.1948
apGKwOb,-14.5833
aWxBPR3,-19.4444
aP762oG,-7.1429
a5Wp5Ag,-14.2857
aK74NQj,0.0000
an4eZzo,4.7619
a3wvr8e,0.0000
aWxB5vx,-22.2222
avz2BGd,-20.0000
aeDKyZq,-3.4351
aNgm2W0,-7.1429
aEPdKjn,0.0000
aAeB7Y9,28.5714
aAeB76R,18.7500
aGdK5Yw,-3.3333
aj9Qvm0,0.0000
aGdKOWG,-7.2000
a6Krxdq,-8.3333
abG3o2p,0.0000
a5WpAvr,1.5152
aBm95dZ,-20.8333
aO7oA26,16.6667
aXgZm62,-13.3333
azm7wmp,-9.0909
agAr6Pw,-18.7500
aGdK57z,-37.5000
a0Nvx8d,-14.2857
aeDKeMb,-17.6471
adVyMxB,0.0000
aWxBN3A,2.3810
aeDKzWW,-3.2609
aqn4w8Z,-9.0909
aeDKWnp,-13.1579
aLw66qW,-3.3333
aoPmw1x,3.1250
aNgm8jA,-21.4286
a9njN80,-18.7500
aXgZzXD,-1.8519
a6KreVm,2.3810
aD4RN87,0.0000
aqn4MwM,10.7143
aGdKr0z,0.0000
a2WEg5O,-22.2222
aK74pVg,-8.3333
a9nj46o,-22.2222
aLw631P,-20.0000
azm7yeN,-2.9412
aeDKERb,-25.8065
a6KrB0L,-10.2273
adVyWRQ,3.8462
an4e0q5,-4.6512
avz2VYM,0.0000
an4ewxB,-16.6667
a5Wp9xy,-6.5217
aP764ow,-8.4906
a5Wp38O,0.0000
a3wve9N,7.1429
aqn4DBL,-4.3103
aBm9b72,-5.8824
a1WpgKG,-11.3636
aD4R2Vx,-8.9286
aYyj5WV,7.1429
adVywzB,-33.3333
aD4Rq1B,-11.5385
a3wvn01,-6.2500
a0Nvgyv,-6.5217
a2WE9oY,2.0408
a2WEVYe,-15.0000
a5WpgLL,5.5556
amvqOLy,-5.0000
arV1rgB,-7.1429
aO7oNBN,-16.6667
aeDKBKO,37.5000
a2WEjB9,-7.1429
aBm9MnP,4.5455
aZyqKR0,0.0000
a2WEGXD,25.0000
a7Wvg52,-10.7143
aP76zNR,-25.0000
aeDKqrB,-16.2162
a8GdOZY,-20.5882
a43pyWw,-6.6667
azm7w5x,-36.1111
aLw6NOM,-4.1667
aZyqKPW,-7.8947
a3wvr9m,-3.5714
aAeB7jE,-3.1250
aoPmoLe,0.0000
aMxeqD1,-5.3191
aVwj8RO,-25.0000
a0NvGzv,-14.2857
aeDKw4O,-4.1667
abG3mpp,-10.0000
an4ewKV,-22.2222
amvqKz9,-8.3333
aeDKBNq,7.5000
azm7vEN,0.0000
aBm954P,9.5238
amvqQ5y,-2.6316
aR767NM,-4.6667
adVywgZ,-25.0000
aYyjZLm,-13.5135
aLw6OD5,-5.7692
a8GdNm6,0.0000
a9njNML,0.0000
aBm9bE1,-20.5882
aO7oZqv,-7.4074
aqn4BpL,-5.5556
aXgZdwD,-2.1739
a7WvA9q,-30.4348
aD4R5Bd,25.0000
aQd6mrr,-8.9844
ax9Er2Y,18.1818
aWxB5qK,0.0000
a9njBxL,-37.5000
a8GdgWV,-12.5000
an4eBOL,0.0000
a1Wpg9D,-5.0000
aBm9j71,-9.3750
aEPdbje,-12.5000
a6Kro9b,-13.0435
aQd6Kqq,-10.0000
aQd6ynw,-3.2609
aVwjr18,-25.0000
aYyj64v,-3.1250
adVy4e2,0.0000
aZyqoPV,0.0000
a8GdgbZ,-14.7059
aqn4ENj,-10.0000
ax9EAD2,-11.1111
agArpw1,6.8182
aO7oADD,-12.5000
aQd65Pr,0.0000
aAeBmAo,0.0000
avz2jLZ,-12.5000
aBm9MQ1,-12.5000
aD4RvwK,0.0000
a2WEx8p,-4.1667
aQd6jPW,-6.2500
amvqwW6,-7.1429
aMxeW1G,-12.5000
aZyqYNn,-3.9474
a8GdN7p,-8.6207
aBm9zpD,-25.0000
aoPmGNm,-18.7500
aqn4wjQ,-25.0000
aQd6bR2,-7.8947
ayeEzpM,0.0000
aNgmGPr,2.9412
a5Wp3KG,-12.5000
aeDKzeb,-18.7500
an4ewo0,0.0000
apGKXq5,-10.0000
aD4RvoG,3.5714
aAeBqop,-2.6316
aVwj5dn,0.0000
aqn4E5Y,-18.7500
a3wvDLm,-33.3333
aQd6Kge,0.0000
a8GdvRd,-18.1818
a3wve3v,-20.5882
aBm9jpA,-10.7143
adVyzNQ,-5.2632
aMxe7WM,4.5455
aR7690j,12.5000
aWxBN1n,-2.0000
amvqnN6,1.6129
aZyqvjz,4.5455
avz2jnd,-4.4118
a1WpwLb,17.8571
ax9EeMp,-3.3333
aBm9bLA,-9.5238
ax9E4Mn,-3.8462
aD4RqKB,-25.0000
abG3KDE,10.0000
an4e8RE,-11.1111
aNgmbew,-22.2222
aEPdbzN,-12.5000
aeDKqQQ,-3.8462
aWxB523,8.3333
aWxBeM2,-31.2500
a5Wp9VE,0.0000
aVwj2bv,-5.8824
aR76GeQ,-10.6557
a1WpnP2,0.0000
a1Wpnz2,-16.6667
abG3dV8,7.6923
apGKnXW,3.3333
aVwjmww,-11.9048
an4edwo,16.6667
ax9EQxK,0.0000
ayeEKLy,2.9412
adVy1jV,-13.2000
a9njwK6,-7.1429
aGdK5B5,-5.0000
aP76zzB,-2.1277
adVyrDB,0.0000
aZyqYm9,-19.0476
aeDKqDp,-12.5000
apGKV3M,-1.7857
azm7Dop,-25.0000
aGdKQe7,7.5758
a8Gdg8Q,-15.0000
aQd6N5d,-15.6250
aR76ywj,10.0000
aeDKz2p,-15.3846
aXgZPW6,-10.7143
ayeEAA8,-16.6667
a6Krzy8,-15.0000
aMxeNQM,-10.0000
an4e0jV,-21.4286
amvqO9X,5.5556
a2WEXY9,8.3333
a43pB3Z,5.0000
aZyqXm0,18.4211
aO7oWB3,-21.4286
aP76n0n,7.1429
aXgZ28b,-14.9254
a9njw9j,0.0000
a3wvz51,-11.7647
azm7QQB,-16.6667
a43pxPv,0.0000
amvqOzv,-12.9032
aK74yEO,-13.6364
aeDKE0b,0.0000
a6KreZL,3.1250
a8Gd40V,-18.6047
abG3DzO,-3.8462
aMxeLj1,-8.0000
a1WpxLP,-7.1429
aqn4MbQ,-6.5217
avz2mvE,-10.4167
amvqKwd,0.0000
aEPdbvn,-11.1111
aLw6Np6,-37.5000
a8Gdg3d,-8.8235
aj9Qj6x,0.0000
aP76vdV,-6.5217
aO7o5dM,-5.0000
aK74NXN,-25.0000
aNgmGK3,0.0000
awBNv78,-28.5714
aD4RVQd,-15.4762
aGdKQDz,-20.0000
a6KrRO2,-6.6667
azm73mb,-14.2857
aD4R9N9,-10.0000
a43px4p,-16.6667
a2WEXRp,3.8462
a0NvWen,-11.1111
aO7oA72,0.0000
aO7o586,-25.0000
aVwj9Qy,6.2500
aLw65ZM,-18.1818
aMxe70G,4.5455
aBm9ooN,0.0000
aD4RxQN,-3.4483
a9njBem,-35.7143
agArZvr,-15.0000
an4eojV,-50.0000
amvqbno,0.0000
a43pmDQ,-31.8182
aeDKyXb,-37.5000
aO7oO12,2.5000
a6Kr42e,-17.5000
an4eo4b,-21.4286
aNgmMy6,-11.1111
aWxBe7q,-10.0000
aQd6ood,-12.1951
aMxev0P,-4.6512
a1Wp6o2,-12.5000
apGKddb,-23.5294
azm74vb,-8.9744
aMxe0xx,-33.3333
aeDKBAQ,-33.3333
a9nj0D0,-11.1111
a1Wp6PP,-8.9286
aWxBXxd,-25.0000
