id,very_negative,negative,neutral,positive,very_positive
aVwj5DM,4.8889,31.1111,45.1111,15.3889,3.3889
an4e3gz,2.1429,13.1429,53.0000,26.8571,5.2857
aR76d47,5.7778,34.3889,42.8333,13.3333,3.5000
agArdXK,3.7500,25.7500,44.7500,21.5000,4.0000
a9njemD,8.0000,34.8182,36.1818,17.5455,3.0909
aWxBAdA,3.4545,13.8182,41.3636,31.0000,10.3636
a6Kr4WA,7.0375,34.7000,43.3000,12.4875,2.4125
aeDKw6p,2.8750,25.3750,58.3750,11.6250,1.6250
aK74LVW,6.7143,20.0000,39.1429,23.0000,11.4286
aXgZzDg,2.5000,14.5000,44.7500,34.0000,4.5000
a9nj07L,3.2667,25.6000,53.4667,15.1333,2.7333
aD4R59x,6.1600,34.2800,39.1200,16.9200,3.6000
an4ewdL,5.7037,27.9444,37.0556,23.3148,6.0000
a8GdOv3,10.2400,32.6800,40.0000,14.4800,2.4400
aD4Rb5x,5.2143,24.4286,46.3929,18.7143,5.2857
a3wvrr3,4.4737,30.0526,52.3158,11.3684,1.6842
a6Krz1m,5.1087,25.1304,48.6087,17.9130,3.0435
azm7wrm,5.8286,32.7714,41.6857,16.0571,3.6429
a0Nvg8O,10.2857,33.8571,39.8571,11.5714,4.1429
aQd6Kpd,6.9455,29.0364,37.1636,18.8545,7.9091
aZyqXWQ,2.0909,15.1818,49.4545,27.6364,5.0909
aGdK66X,7.0811,34.8378,39.7973,15.5405,2.7838
aXgZ1nD,4.9412,22.6471,35.5294,32.1176,4.7647
apGKV7n,6.2444,28.7333,45.6222,15.8222,3.5778
aP7628G,5.4091,27.8182,46.6818,16.8636,3.2273
aBm9zBZ,5.2143,26.5000,44.4286,19.6429,4.0357
an4e39B,10.2000,35.4000,39.0667,12.6667,2.7333
arV1Eyd,4.3061,24.3265,42.5714,24.0816,4.6327
aD4RD0K,3.1364,17.4545,49.5000,25.6364,4.3182
aNgm5jA,8.0000,29.3571,35.7857,22.5000,4.5357
aK74y7g,4.2273,26.6818,48.0455,17.5000,3.4091
an4eZLo,5.1429,31.5714,50.4286,10.8571,1.7143
ax9EwW2,5.0000,29.3571,41.3571,20.3571,3.5714
ax9EAGK,5.0833,31.9444,43.2222,16.5833,3.2778
an4ewgq,3.5833,18.0833,50.7500,20.6667,6.7500
amvqyqd,6.1667,35.2222,43.7778,12.4444,2.3333
aeDKEwj,4.1111,25.7778,42.2222,21.6111,6.2222
arV10r7,4.2121,27.9697,43.5455,20.9697,3.2121
aEPd5bO,5.1282,31.5641,45.1026,15.7692,2.4103
awBN2my,4.0870,22.6087,35.6522,30.5217,7.1739
avz2qQZ,4.3125,24.6250,47.0313,20.4688,3.5938
an4e8EB,5.6786,24.3571,44.1071,21.7500,4.1429
aO7oOm6,6.2857,34.2857,34.4286,18.5714,6.5714
aZyq5Zz,4.1111,20.3889,33.7778,33.7222,7.8889
aNgmGOw,6.7143,40.2857,41.0000,9.7143,2.2857
aGdKr30,3.5370,19.4259,48.0185,24.6852,4.3333
a1WpgP8,3.9400,25.2600,43.4000,22.9400,4.3400
aVwj5g2,3.5667,22.1000,52.5000,18.2333,3.6333
apGKdvM,6.5000,29.0227,37.8864,20.7273,5.8182
aQd65Vw,3.7143,26.5714,50.8571,16.4286,2.5714
adVydW9,7.0833,24.8333,41.1667,18.5833,8.5000
apGKwqW,2.8182,20.9091,51.5455,22.2727,2.6364
aqn4wVp,3.0000,18.0000,51.0000,24.0000,3.0000
a3wvzgv,6.6667,24.0833,39.5833,24.2500,5.2500
