id,very_positive,positive,neutral,negative,very_negative,score
aVwj5DM,3.3889,15.3889,45.1111,31.1111,4.8889,11.909090909090908
an4e3gz,5.2857,26.8571,53.0,13.1429,2.1429,5.961538461538463
aR76d47,3.5,13.3333,42.8333,34.3889,5.7778,27.677419354838708
agArdXK,4.0,21.5,44.75,25.75,3.75,14.882352941176471
a9njemD,3.0909,17.5455,36.1818,34.8182,8.0,11.448275862068966
aWxBAdA,10.3636,31.0,41.3636,13.8182,3.4545,18.346153846153847
a6Kr4WA,2.4125,12.4875,43.3,34.7,7.0375,3.417910447761194
aeDKw6p,1.625,11.625,58.375,25.375,2.875,5.756756756756758
aK74LVW,11.4286,23.0,39.1429,20.0,6.7143,21.14
aXgZzDg,4.5,34.0,44.75,14.5,2.5,21.130434782608692
a9nj07L,2.7333,15.1333,53.4667,25.6,3.2667,23.85185185185185
aD4R59x,3.6,16.92,39.12,34.28,6.16,26.264705882352942
an4ewdL,6.0,23.3148,37.0556,27.9444,5.7037,29.0
a8GdOv3,2.44,14.48,40.0,32.68,10.24,8.41304347826087
aD4Rb5x,5.2857,18.7143,46.3929,24.4286,5.2143,26.0875
a3wvrr3,1.6842,11.3684,52.3158,30.0526,4.4737,5.4
a6Krz1m,3.0435,17.913,48.6087,25.1304,5.1087,7.16
azm7wrm,3.6429,16.0571,41.6857,32.7714,5.8286,7.712820512820513
a0Nvg8O,4.1429,11.5714,39.8571,33.8571,10.2857,13.904761904761903
aQd6Kpd,7.9091,18.8545,37.1636,29.0364,6.9455,14.006410256410255
aZyqXWQ,5.0909,27.6364,49.4545,15.1818,2.0909,12.035714285714285
aGdK66X,2.7838,15.5405,39.7973,34.8378,7.0811,10.42
aXgZ1nD,4.7647,32.1176,35.5294,22.6471,4.9412,9.382352941176473
apGKV7n,3.5778,15.8222,45.6222,28.7333,6.2444,6.365853658536586
aP7628G,3.2273,16.8636,46.6818,27.8182,5.4091,11.486111111111109
aBm9zBZ,4.0357,19.6429,44.4286,26.5,5.2143,14.76
an4e39B,2.7333,12.6667,39.0667,35.4,10.2,35.439024390243894
arV1Eyd,4.6327,24.0816,42.5714,24.3265,4.3061,28.149253731343283
aD4RD0K,4.3182,25.6364,49.5,17.4545,3.1364,15.082644628099173
aNgm5jA,4.5357,22.5,35.7857,29.3571,8.0,14.093023255813955
aK74y7g,3.4091,17.5,48.0455,26.6818,4.2273,10.945945945945946
an4eZLo,1.7143,10.8571,50.4286,31.5714,5.1429,9.466666666666667
ax9EwW2,3.5714,20.3571,41.3571,29.3571,5.0,58.0
ax9EAGK,3.2778,16.5833,43.2222,31.9444,5.0833,10.138461538461538
an4ewgq,6.75,20.6667,50.75,18.0833,3.5833,11.430232558139535
amvqyqd,2.3333,12.4444,43.7778,35.2222,6.1667,5.941176470588236
aeDKEwj,6.2222,21.6111,42.2222,25.7778,4.1111,9.204545454545457
arV10r7,3.2121,20.9697,43.5455,27.9697,4.2121,10.79310344827586
aEPd5bO,2.4103,15.7692,45.1026,31.5641,5.1282,15.393617021276595
awBN2my,7.1739,30.5217,35.6522,22.6087,4.087,8.428571428571429
avz2qQZ,3.5938,20.4688,47.0313,24.625,4.3125,27.4
an4e8EB,4.1429,21.75,44.1071,24.3571,5.6786,9.322580645161288
aO7oOm6,6.5714,18.5714,34.4286,34.2857,6.2857,16.5
aZyq5Zz,7.8889,33.7222,33.7778,20.3889,4.1111,9.055555555555557
aNgmGOw,2.2857,9.7143,41.0,40.2857,6.7143,23.63636363636364
aGdKr30,4.3333,24.6852,48.0185,19.4259,3.537,31.12844036697248
a1WpgP8,4.34,22.94,43.4,25.26,3.94,13.71264367816092
aVwj5g2,3.6333,18.2333,52.5,22.1,3.5667,11.175
apGKdvM,5.8182,20.7273,37.8864,29.0227,6.5,8.222222222222221
aQd65Vw,2.5714,16.4286,50.8571,26.5714,3.7143,11.473684210526313
adVydW9,8.5,18.5833,41.1667,24.8333,7.0833,10.59322033898305
apGKwqW,2.6364,22.2727,51.5455,20.9091,2.8182,7.0
aqn4wVp,3.0,24.0,51.0,18.0,3.0,13.333333333333336
a3wvzgv,5.25,24.25,39.5833,24.0833,6.6667,19.73134328358209
amvqwro,2.6,18.8,61.6,14.5,2.3,3.2528735632183907
avz2XLW,3.3333,13.7719,40.5965,35.193,7.1579,7.020833333333332
aP762AQ,4.3889,23.8889,43.9444,24.1667,3.8333,22.40425531914893
aZyqXoW,2.8333,24.3333,49.8333,20.1667,2.8333,12.75
aVwj5xO,2.7727,21.5,53.7273,18.8636,3.0455,13.06060606060606
a1WpjX6,8.2143,21.8571,33.1429,30.4286,6.3571,12.933333333333335
aD4Rq97,2.1176,17.2353,55.5294,21.2941,3.7059,16.19672131147541
aZyqKwQ,2.8095,14.4286,43.381,32.7619,6.7619,25.514285714285716
adVydr9,8.25,31.3333,42.0,15.6667,2.75,6.0285714285714285
aK74n9W,5.4,27.9333,36.4,26.1333,4.3333,14.375
aYyj6XN,5.9333,23.1333,52.9333,15.3333,2.4,10.789473684210524
amvqyQX,3.7683,23.2439,47.0732,21.5976,4.2073,32.395161290322584
a6KrzRe,4.9744,18.7692,46.2564,25.6667,4.2308,9.882352941176473
aQd6bzz,2.3077,14.8462,48.9231,28.4615,5.1538,7.269911504424778
aAeB7R9,2.125,12.25,45.75,31.75,8.5,9.714285714285714
aEPdbne,3.6731,21.8077,46.8654,22.4231,5.0,13.840579710144928
aXgZGe6,2.8,14.8,39.8,37.0,5.4,17.61904761904762
aO7o5nM,2.0,11.5,37.25,42.5,6.75,18.647058823529417
a7WvmxL,11.0,45.25,23.0,17.25,3.25,6.12
ayeEAxq,3.2609,19.0435,47.3043,25.7826,4.4783,13.86842105263158
a3wvpe3,2.5,16.6,49.6,27.8,3.7,7.62962962962963
aZyq5Dz,3.0,17.0833,53.6667,23.0,3.25,17.411764705882348
a0NvxXO,3.3125,19.875,52.4375,20.3125,4.0,15.066666666666665
agArp9q,4.1818,24.0455,44.2727,22.8182,4.4545,12.871794871794872
aLw6Xj6,3.2361,18.7917,48.8472,24.9028,4.0,61.65625
a9njw5m,2.75,18.0625,50.4375,23.75,5.1875,26.0
arV1Emy,1.7,10.6,44.4,34.1,9.1,26.81481481481481
aEPdKge,3.2979,21.4043,40.5106,29.4894,5.1915,19.798319327731093
aeDKzLq,2.5,14.25,41.25,36.625,5.375,11.24
a5Wp3zL,4.58,21.02,45.72,23.26,5.44,14.0
aP76LRq,5.0833,19.3333,44.4583,25.7917,5.375,5.202643171806168
aoPm6e3,2.4583,17.3333,34.0833,39.2917,6.875,10.625
a1Wpnj8,7.3333,22.381,32.7143,31.2857,6.4286,10.196078431372547
azm7z4j,4.8049,17.4634,42.4634,30.5366,4.7073,91.42553191489358
aR76WR5,2.3636,13.9091,46.9318,30.9773,5.8864,16.35
abG3mPr,4.4667,16.3333,38.5333,33.6,6.8667,17.634146341463413
aD4R5nO,7.5926,31.1481,38.3704,18.8148,4.0,17.805555555555557
aVwj93d,2.1509,13.7358,62.1887,18.8868,2.8868,22.639705882352942
aVwj8ry,2.6154,10.4615,46.0,34.2308,7.0,8.352941176470589
aGdKvmG,6.6923,20.0769,46.3846,22.1538,4.5385,33.95238095238095
aNgm5Xr,2.7083,15.625,44.7083,30.875,6.0417,17.923076923076927
arV1DAV,2.1429,20.8571,51.2143,22.0,3.8571,11.071428571428573
awBNZqD,6.0571,24.0857,44.4476,21.6476,3.6952,32.232044198895025
awBN9qB,4.2167,18.1,43.9333,28.1333,5.4667,8.051282051282051
aLw6OZv,2.8636,18.0,44.9091,28.1364,5.8636,23.394736842105264
a0NvWRv,2.1538,13.7692,36.3846,41.1538,6.4615,19.11111111111111
aEPdNN9,3.7,15.9,44.9,29.5,5.8,5.797619047619048
arV1EPd,2.6,16.4,52.8,24.6,4.2,19.818181818181817
aR768wQ,2.0,13.0,56.0,26.0,3.5,9.083333333333334
aLw6O7v,3.5714,18.3429,43.3429,28.3429,6.5714,3.74025974025974
a9njw3j,4.9286,25.8571,37.8571,25.7143,5.7143,18.439024390243897
aeDKPBb,3.1111,24.1111,52.1111,17.8889,2.5556,4.789473684210527
a5WpAjq,2.6667,16.3333,41.8889,33.2222,5.5556,10.363636363636363
ayeEAnb,2.5714,23.2857,62.8571,10.5714,1.0,6.666666666666668
avz2BRE,8.0,26.0556,31.0,28.7222,6.0,12.275862068965518
a0NvGqn,5.2549,23.2353,45.902,22.1176,3.3922,10.62280701754386
a7WvgYz,1.75,11.75,50.5,32.25,4.0,6.25
azm7yDZ,4.6667,20.8571,39.4762,29.6667,5.2381,13.457142857142856
agArwzx,3.0909,17.2727,43.4545,26.2727,10.0909,4.309523809523808
an4eZYb,5.619,24.6667,40.8254,23.4444,5.2857,7.706666666666668
a2WEgYY,4.7429,29.5714,40.9143,20.7429,3.8,3.7142857142857135
a1WpgyD,3.0,17.1667,44.5833,29.75,5.5,14.314285714285715
awBNjox,3.3056,21.25,42.3056,28.4722,4.6667,24.72727272727273
a8GdXBV,5.0159,18.8571,44.0159,25.9365,6.0476,32.570247933884296
aEPdje9,3.6364,16.5909,52.0909,24.1364,3.3636,12.7
aBm95YQ,4.5,17.75,44.4167,27.6667,5.5833,9.115384615384617
abG3w4r,3.75,16.25,35.0,39.0,6.25,11.066666666666665
arV1Ex5,2.8214,15.8929,47.1429,29.0357,5.0357,23.91111111111111
aK745wg,2.0526,10.4737,34.9474,42.8421,10.0,18.916666666666668
amvqKRV,5.0,17.6364,51.2727,22.3636,3.6364,13.533333333333333
aeDKPxB,1.7143,9.8571,48.0,33.8571,6.7143,13.666666666666664
arV1wp6,4.1667,21.0833,53.1667,18.75,2.75,26.5625
aBm9bRZ,3.3871,15.0645,38.4839,33.2258,9.7742,10.941176470588236
aZyq500,3.625,20.25,42.4375,28.1875,5.5,14.186046511627907
aNgmMzb,3.0667,15.8333,45.0667,30.2,5.8333,16.941176470588232
a43pr7Q,3.4,17.36,45.8267,27.92,5.4133,13.139841688654355
aK745Gj,4.2,18.8,47.0,25.0,4.8,8.714285714285714
a9nj0NL,7.3684,16.2105,44.5789,27.2632,4.4737,10.288461538461537
aO7o5zM,3.7059,20.6471,44.0,26.0,5.3529,51.1
aEPdoR9,3.0427,16.2991,48.2821,27.3504,4.9573,20.76255707762557
aGdKbvz,2.9,19.275,42.125,29.45,6.15,18.15934065934066
aYyjqyV,4.5957,20.8511,45.2979,24.4894,4.7234,29.04913294797688
arV19K5,3.2308,17.6923,42.6923,30.6154,5.6154,24.404761904761905
aO7oOXy,5.625,23.15,43.1875,23.5,4.5625,43.897959183673464
a1WpggG,3.9,18.0,38.5333,32.1,7.5833,53.92857142857143
a3wvr4m,4.1,26.4,43.0,22.3,4.0,44.470588235294116
a6Kr3Pb,3.8889,14.8611,50.9167,26.0556,4.4722,13.717948717948715
agArbBq,1.0,5.5,66.5,25.0,2.5,6.133333333333334
arV1E5B,8.6,21.2,48.0,18.8,3.6,24.75
ax9Ewr1,2.25,16.125,48.375,27.75,5.5,8.666666666666666
aYyjrd0,4.3377,17.6364,42.987,28.1039,6.974,12.417910447761194
apGKwOb,5.0,16.3333,39.7083,33.375,5.75,35.357142857142854
aWxBPR3,5.2222,19.8333,30.9444,33.6667,10.3333,7.679245283018867
aP762oG,4.7857,16.6667,41.8333,29.8095,6.8333,7.472222222222222
a5Wp5Ag,2.1429,18.8571,39.7143,31.1429,7.4286,17.333333333333332
aK74NQj,3.2727,22.3636,41.5455,27.0,5.3636,11.310344827586205
an4eZzo,4.8571,25.0952,41.5238,23.8571,4.6667,21.3265306122449
a3wvr8e,1.6,13.0,69.6,13.6,1.8,5.928571428571429
aWxB5vx,2.4444,13.1111,43.8889,35.3333,5.2222,10.205128205128204
avz2BGd,3.2,12.8,48.8,30.8,4.2,19.11111111111111
aeDKyZq,5.0916,21.5649,42.3053,25.5573,5.3664,18.20822622107969
aNgm2W0,2.0357,14.7857,55.6071,24.1786,3.4286,5.730769230769232
aEPdKjn,4.4167,22.75,46.5,21.8333,4.25,34.583333333333336
aAeB7Y9,5.8571,36.2857,31.0,22.8571,3.7143,15.393939393939394
aAeB76R,5.375,31.875,50.625,10.5,1.75,13.2
aGdK5Yw,2.2667,16.5333,56.1333,20.7333,4.4,11.951219512195122
aj9Qvm0,10.3333,25.3333,36.1667,23.1667,4.8333,9.91891891891892
aGdKOWG,3.264,18.912,45.088,27.232,5.488,19.41851851851852
a6Krxdq,3.7917,15.9167,49.8333,25.7083,4.625,7.08641975308642
abG3o2p,3.6,19.4,51.6,20.8,4.6,12.523809523809526
a5WpAvr,3.2121,19.2424,55.7879,19.2727,2.4545,13.930232558139535
aBm95dZ,2.8333,15.75,43.6667,32.5,5.25,19.92982456140351
aO7oA26,7.3333,20.6667,55.0,14.5833,2.6667,15.604166666666664
aXgZm62,2.8,14.2667,42.7333,34.7333,5.6,8.727272727272727
azm7wmp,2.9091,13.7273,55.6364,22.5455,5.0909,5.25
agAr6Pw,1.375,8.75,48.375,36.75,4.5,21.620689655172416
aGdK57z,1.5,5.5,36.5,47.25,9.0,12.090909090909092
a0Nvx8d,5.8571,14.7143,39.1429,31.7143,8.7143,8.044444444444443
aeDKeMb,2.1176,15.0,44.0588,33.8235,4.6471,17.90909090909091
